Lateral Root Density,Total Density,Area Convex Hull,Day,Type
0.07740809969147731,0.8211025495122344,25.831391962725682,8,Continuous Light
0.09619336330130089,0.6800801619169369,47.013686662783925,8,Continuous Light
0.03838875941465484,1.2396247101972846,15.498689574839837,8,Continuous Light
0.10917909286652748,1.2015382560040513,21.085468841001745,8,Continuous Light
0.0,1.4629043809782565,7.979593367844549,8,Continuous Light
0.013970594192025176,1.1155760941863018,16.133993547903067,8,Continuous Light
0.09595014197746408,0.496047133731635,70.6732211886396,8,Continuous Light
0.0,2.1450645096886425,1.8992815914426417,8,Continuous Light
0.14219262300711993,0.9713936504603258,19.536621568593993,8,Continuous Light
0.19351249511646107,0.9978624490211594,14.538583590671008,8,Continuous Light
0.22324773434555314,0.8385995698765258,45.262996263627514,8,Continuous Light
0.12268279077465173,0.6855131217498842,63.25424438645663,8,Continuous Light
0.0,1.3176065200635048,3.7772623304661583,8,Continuous Light
0.06110808238391082,0.8629211456812879,34.19912373957025,8,Continuous Light
0.021919630887292225,1.2170010858460873,15.60897043118993,8,Continuous Light
0.0,1.2266424922626151,6.740953414681115,8,Continuous Light
0.16600330063745178,0.5301138040647617,75.73360000000001,8,Continuous Light
0.07837380275159828,0.6718091924137567,38.6896,8,Continuous Light
0.07868168268595176,0.5939297174945867,46.562400000000004,8,Continuous Light
0.29816319423691207,0.5978840563314077,119.4131170688438,8,Continuous Light
0.07271915615905354,1.2857232040804059,19.4711799399356,8,Continuous Light
0.0,1.3794939020708112,6.9698230632847284,8,Continuous Light
0.11951906865847413,1.6155075427308778,5.657741725047509,8,Continuous Light
0.0,1.90282520924872,4.82670108063647,8,Continuous Light
0.0,1.2876139215268576,14.226252942678052,8,Continuous Light
0.109499946531958,0.5686697879059118,61.37230634828188,10,Continuous Light
0.1639024856026423,0.5195359115574512,117.93389633080955,10,Continuous Light
0.17899814029227842,0.9718090508316553,34.459085614443794,10,Continuous Light
0.12189146490724526,0.576085442177323,67.43229470005824,10,Continuous Light
0.1026410897570754,0.839933317915824,30.594193112761644,10,Continuous Light
0.13825773450212955,0.4944901650304762,73.67619476329807,10,Continuous Light
0.23282675446057138,0.44626228194576617,191.83097099888795,10,Continuous Light
0.0,1.8090461659576427,5.213316152719185,10,Continuous Light
0.10750612941483573,0.6008797569380325,45.12565471823656,10,Continuous Light
0.23804997691903376,0.7903536193102481,35.25583061778103,10,Continuous Light
0.2770775871235473,0.5645266421762768,138.09137904560419,10,Continuous Light
0.2137862950168688,0.4539526397335026,217.03392287619602,10,Continuous Light
0.07434007601568228,1.060785305447398,8.186753004091363,10,Continuous Light
0.1664733833815541,0.5329316630014019,117.46560999967787,10,Continuous Light
0.09763600490547453,0.5519068310676052,62.844663083629484,10,Continuous Light
0.07829638672657055,0.7971450897678691,22.68517708023319,10,Continuous Light
0.32833254274459334,0.5684057816800056,165.3624,10,Continuous Light
0.19788205022519548,0.41316376175337016,154.9648,10,Continuous Light
0.30608091819485916,0.5441821585874557,144.3232,10,Continuous Light
0.38514319121168333,0.6059689880882566,227.85883673358558,10,Continuous Light
0.2095674572041024,0.5138040917596448,116.49419256793432,10,Continuous Light
0.0,1.255130736050065,12.137713934218622,10,Continuous Light
0.0,1.6600267591534037,11.410500042544744,10,Continuous Light
0.0,1.8034757954918168,9.511586351646482,10,Continuous Light
0.0,0.7244890068449357,39.725444592563186,10,Continuous Light
0.17406630869465312,0.4821490327426386,119.68258590564939,12,Continuous Light
0.27318830829433205,0.5087393096089393,233.434769947583,12,Continuous Light
0.2734042484476917,0.7013210201355243,86.86808386721025,12,Continuous Light
0.18499521934220958,0.5638822112334236,80.83503203261502,12,Continuous Light
0.22872970914643914,0.562793358040247,91.30617450671467,12,Continuous Light
0.35330228601220287,0.6059475740874001,140.61745067146822,12,Continuous Light
0.3230979739347358,0.4677039869275484,372.3756906077347,12,Continuous Light
0.17997303096576128,0.8741089229890019,21.537253102218767,12,Continuous Light
0.18655953718708962,0.6543351522063485,71.50205585791547,12,Continuous Light
0.2938598936355403,0.695969526933197,69.54941736474842,12,Continuous Light
0.41600328094092276,0.6421481686988673,228.7768924982512,12,Continuous Light
0.4286858443302912,0.629957627614383,326.41506394768214,12,Continuous Light
0.3361396323566815,1.1204241620680107,20.095196675364843,12,Continuous Light
0.24808946871410606,0.44224371846915916,299.40965175091014,12,Continuous Light
0.21451982704318986,0.4306922489947482,172.03830465152922,12,Continuous Light
0.17198898147295563,0.4904928705856399,74.78422996796274,12,Continuous Light
0.4217423699615239,0.5963144336698075,300.1512,12,Continuous Light
0.33596097913482065,0.495938192266161,272.59200000000004,12,Continuous Light
0.4929363204936064,0.6737860997940289,254232,12,Continuous Light
0.3347073217476464,0.4759245082728139,403.0629423797542,12,Continuous Light
0.28606132475212837,0.4705975769451805,247.23649455440176,12,Continuous Light
0.15459954216414626,0.6566189039146539,41.39468828020408,12,Continuous Light
0.13904499556778027,0.5871141925013611,65.28987151487648,12,Continuous Light
0.045830293865638756,0.8859862610024549,32.22764273761239,12,Continuous Light
0.07049876735724252,0.5951302514493737,75.10848909436424,12,Continuous Light
0.2788675594026646,0.5391373837493569,179.86240535818288,14,Continuous Light
0.3731202732192531,0.5396097485490773,415.6850611531741,14,Continuous Light
0.27360739062690265,0.4738291898393257,229.90972626674431,14,Continuous Light
0.18503770357221924,0.5639246954634333,80.83503203261502,14,Continuous Light
0.3880272250433894,0.605458473151179,170.77050041263408,14,Continuous Light
0.4369168281704811,0.6467599820184907,218.2046665166179,14,Continuous Light
